"PerNo","PerStatus","年資層級A","年齡層級","年資層級B","升遷速度","眷屬量","婚姻狀況","工作資歷5","近一年請假數B","近三月請假數B","sex","近一年請假數A","特殊專案佔比","訓練時數C","任職前工作平均年數","工作分類"
2435,1,3,6,3,2,0,2,0,0,0,0,3,1,2,1,1
2437,0,4,11,1,1,0,2,0,0,0,1,9,0,1,2,1
2439,0,3,8,3,2,3,1,1,0,0,1,6,2,7,1,1
2439,0,3,9,3,2,3,1,1,0,0,1,6,0,1,1,1
2439,0,4,9,3,2,3,1,1,0,0,1,8,1,1,1,1
2439,0,4,9,4,3,3,1,1,0,0,1,5,0,1,1,1
2441,1,6,12,1,1,0,1,0,0,0,1,6,0,2,2,1
2442,0,1,5,1,1,0,1,0,1,0,1,7,11,2,1,1
2442,0,2,5,1,2,0,1,0,0,0,1,8,7,2,1,1
2442,1,2,5,2,2,0,1,0,0,0,1,9,12,2,1,1
2443,0,2,7,1,2,1,1,0,0,0,1,6,0,1,1,1
2443,0,2,7,2,1,1,1,0,0,0,1,6,0,4,1,2
2443,0,3,8,2,1,1,1,0,0,0,1,7,0,2,1,2
2443,0,3,8,2,1,1,1,0,0,0,1,8,1,1,1,2
2444,0,5,11,3,2,0,1,0,0,0,1,8,0,0,1,1
2444,0,5,11,3,2,0,1,0,0,0,1,11,0,0,1,1
2444,0,5,12,3,2,0,1,0,0,0,1,11,0,1,1,1
2444,0,6,12,3,2,0,1,0,8,8,1,11,1,0,1,1
2448,0,1,2,1,1,0,1,1,0,0,1,6,0,2,0,1
2448,0,1,3,1,1,0,1,1,0,0,1,7,0,1,0,1
2448,0,2,3,2,1,0,1,1,0,0,1,7,1,3,0,1
2448,0,2,3,2,1,0,1,1,0,0,1,6,1,2,0,1
2450,0,7,11,6,6,0,1,0,0,0,1,4,3,1,1,1
2450,0,7,11,7,7,0,1,0,0,0,1,4,4,2,1,1
2450,0,7,11,7,7,0,1,0,0,0,1,4,1,1,1,1
2450,0,7,12,7,1,0,1,0,0,0,1,4,2,1,1,1
2451,0,1,4,1,1,0,1,0,0,0,1,6,10,4,1,1
2451,0,1,4,1,2,0,1,0,0,0,1,8,1,1,1,1
2451,0,2,5,2,2,0,1,0,0,0,1,4,8,4,1,1
2451,0,2,5,2,2,1,1,0,0,0,1,3,6,1,1,1
2453,1,3,8,2,3,2,1,0,0,0,1,6,4,1,1,1
2454,0,3,6,3,1,0,2,0,0,0,0,6,15,1,0,1
2454,0,4,6,4,2,0,2,0,0,0,0,6,15,1,0,1
2454,0,4,7,4,2,0,2,0,0,0,0,6,8,1,0,1
2454,0,4,7,4,2,0,2,0,0,0,0,5,8,0,0,1
2455,0,2,5,1,1,0,1,0,0,0,0,7,1,4,1,2
2455,0,3,5,1,1,1,1,0,0,0,0,6,0,2,1,2
2455,0,3,6,1,1,2,1,0,0,0,0,7,0,1,1,2
2458,0,2,5,2,3,2,1,1,0,0,1,7,2,3,0,1
2458,0,2,6,2,3,2,1,1,0,0,1,7,3,3,0,1
2458,0,2,6,2,1,3,1,1,0,0,1,6,1,1,0,1
2458,0,2,6,2,1,3,1,1,0,0,1,7,1,3,0,1
2463,0,2,4,2,3,1,1,0,0,0,0,9,0,1,0,2
2463,0,2,4,2,3,2,1,0,0,0,0,6,0,1,0,2
2463,0,3,5,3,4,2,1,0,0,0,0,10,0,1,0,2
2463,0,3,5,3,4,2,1,0,0,0,0,6,0,0,0,2
2469,0,2,5,1,1,1,1,0,0,0,0,7,1,1,0,2
2469,0,2,5,1,2,1,1,0,0,0,0,7,0,1,0,2
2469,0,3,6,1,2,1,1,0,0,0,0,7,3,1,0,2
2469,0,3,6,2,2,1,1,0,0,0,0,7,1,1,0,2
2471,0,1,2,1,1,0,1,0,0,0,0,6,1,1,1,1
2471,0,1,3,1,1,0,1,0,0,0,0,4,1,1,1,1
2471,0,2,3,1,1,0,1,0,0,0,0,6,2,1,1,1
2473,0,1,3,1,1,1,2,0,0,0,0,6,0,1,1,1
2473,0,2,3,1,1,1,2,0,0,0,0,7,0,1,1,1
2475,0,6,10,5,6,0,2,0,0,0,0,5,5,4,1,1
2475,1,6,11,6,6,0,2,0,0,0,0,2,5,1,1,1
2476,0,2,5,2,2,1,1,1,0,0,1,9,3,1,0,1
2476,0,2,5,2,2,1,1,1,0,0,1,6,0,1,0,1
2476,0,3,6,3,2,1,1,1,0,0,1,6,5,1,0,1
2476,0,3,6,3,2,1,1,1,0,0,1,9,4,1,0,1
2477,0,4,8,4,6,2,1,0,0,0,1,6,5,3,0,1
2477,0,4,8,4,6,2,1,0,0,0,1,6,1,2,0,1
2477,0,4,9,4,6,2,1,0,0,0,1,6,1,1,0,1
2477,0,4,9,4,1,2,1,0,0,0,1,4,1,1,0,1
2479,0,3,5,3,4,1,1,0,0,0,0,11,4,2,1,2
2479,0,3,5,3,4,1,1,0,0,0,0,9,7,3,1,2
2481,1,1,3,1,1,0,1,0,0,0,1,7,2,6,1,1
2482,0,2,4,1,1,0,2,0,1,0,1,6,0,1,1,1
2484,1,2,6,2,1,3,1,1,0,0,1,8,1,4,0,1
2486,0,6,10,6,5,0,1,0,0,0,1,6,15,1,1,1
2486,0,6,11,6,5,0,1,0,0,0,1,6,15,1,1,1
2486,0,6,11,6,5,0,1,0,0,0,1,6,15,1,1,1
2486,0,6,11,6,5,0,1,0,0,0,1,5,15,1,1,1
2488,0,3,7,2,1,2,1,0,0,0,1,6,1,1,1,1
2488,0,3,8,3,1,2,1,0,0,0,1,7,0,1,1,1
2488,0,3,8,3,2,1,1,0,0,0,1,10,1,1,1,1
2490,0,3,7,3,4,1,1,0,0,0,1,6,0,1,0,1
2490,0,3,7,3,4,1,1,0,0,0,1,7,0,0,0,1
2490,0,3,7,3,1,1,1,0,0,0,1,9,0,1,0,1
2490,0,4,8,4,1,1,1,0,0,0,1,11,0,1,0,1
2491,0,3,6,2,1,2,1,0,0,0,0,9,1,2,0,1
2491,0,4,7,2,2,2,1,0,0,0,0,7,2,2,0,1
2491,0,4,7,2,2,2,1,0,0,0,0,7,3,2,0,1
2491,0,4,7,3,2,2,1,0,0,0,0,8,1,6,0,1
2492,0,1,2,1,1,1,2,1,0,0,1,7,7,6,0,1
2492,0,1,2,1,1,0,2,1,0,0,1,6,1,1,0,1
2492,0,1,3,1,2,1,2,1,0,0,1,6,2,5,0,1
2492,0,2,3,2,2,1,2,1,0,0,1,7,4,3,0,1
2496,0,4,7,1,1,2,1,0,0,0,1,5,1,12,2,1
2498,0,1,2,1,1,0,2,0,0,0,0,6,2,6,0,1
2498,0,1,2,1,1,0,2,0,0,0,0,5,1,5,0,1
2498,0,1,3,1,1,0,2,0,0,0,0,5,1,6,0,1
2499,0,2,4,2,1,1,2,0,0,0,0,9,12,5,0,1
2499,0,2,4,2,2,1,2,0,0,0,0,7,11,3,0,1
2499,0,3,5,3,2,1,2,0,0,0,0,8,10,4,0,1
2499,0,3,5,3,2,1,2,0,0,0,0,8,9,4,0,1
2500,0,7,12,4,6,1,1,0,0,0,1,10,1,2,3,1
2500,0,7,12,4,6,1,1,0,0,0,1,10,2,2,3,1
2500,0,7,12,4,6,1,1,0,0,0,1,9,1,1,3,1
2500,0,7,13,5,7,1,1,0,0,0,1,9,1,1,3,1
2502,0,1,2,1,1,0,2,0,0,0,1,5,0,3,0,1
2502,0,1,2,1,1,0,2,0,0,0,1,5,1,4,0,1
2502,0,1,3,1,1,0,2,0,0,0,1,5,1,4,0,1
2504,0,2,4,1,2,1,2,0,0,0,1,8,2,1,1,1
2504,1,2,4,1,2,1,2,0,0,0,1,10,2,1,1,1
2505,0,3,6,3,4,2,1,0,0,0,0,6,0,2,1,1
2505,0,3,6,3,5,3,1,0,0,0,0,6,0,3,1,1
2505,0,4,6,3,5,3,1,0,0,0,0,6,0,3,1,1
2505,0,4,7,4,5,3,1,0,0,0,0,5,0,3,1,1
2506,0,5,10,4,2,2,1,0,0,0,1,6,1,10,1,1
2506,0,5,10,4,2,2,1,0,0,0,1,6,1,2,1,1
2506,0,5,10,4,2,2,1,0,0,0,1,6,0,2,1,1
2506,0,5,11,4,3,2,1,0,0,0,1,6,0,3,1,1
2507,0,1,8,1,1,1,1,0,0,0,1,6,0,2,0,1
2507,0,1,8,1,1,1,1,0,0,0,1,6,0,2,0,1
2507,0,1,8,1,1,2,1,0,0,0,1,7,0,4,0,1
2507,0,2,9,2,1,2,1,0,0,0,1,8,0,4,0,1
2509,0,4,9,4,4,1,1,0,0,0,1,6,10,0,0,1
2509,0,4,9,4,4,1,1,0,0,0,1,6,7,1,0,1
2509,0,4,10,4,5,1,1,0,0,0,1,7,5,2,0,1
2509,0,5,10,5,5,1,1,0,0,0,1,6,4,3,0,1
2510,0,6,10,5,4,1,2,0,0,0,0,6,8,1,3,1
2510,0,6,10,5,5,1,2,0,0,0,0,9,1,1,3,1
2510,0,6,10,5,5,1,2,0,0,0,0,5,2,1,3,1
2510,0,6,11,5,5,1,2,0,0,0,0,7,1,3,3,1
2514,0,4,7,3,3,0,1,0,0,0,1,6,1,1,1,1
2514,1,4,7,3,3,0,1,0,0,0,1,6,0,3,1,1
2515,0,6,10,6,4,1,1,1,0,0,1,6,1,1,0,1
2515,0,6,10,6,4,0,1,1,0,0,1,6,0,1,0,1
2515,0,6,10,6,4,0,1,1,0,0,1,7,0,2,0,1
2515,0,6,11,6,5,0,1,1,0,0,1,9,0,1,0,1
2519,0,3,6,1,1,0,2,0,0,0,0,6,0,1,1,2
2521,0,1,3,1,1,0,2,0,0,0,1,6,0,0,0,1
2524,1,1,3,1,1,0,2,0,0,0,1,6,0,2,0,1
2525,0,1,2,1,1,0,1,1,0,0,1,6,0,3,0,1
2525,0,1,3,1,1,0,1,1,0,0,1,6,0,3,0,1
2525,0,2,3,2,1,1,1,1,0,0,1,6,0,3,0,1
2525,0,2,3,2,1,1,1,1,0,0,1,8,0,1,0,1
2526,0,6,11,6,1,2,1,0,0,0,0,6,4,0,1,2
2526,1,6,11,6,2,2,1,0,0,0,0,6,0,2,1,2
2527,0,2,5,2,3,3,1,0,0,0,1,6,0,1,0,1
2527,0,2,5,2,3,2,1,0,0,0,1,10,2,2,0,1
2529,0,3,7,2,2,1,1,0,0,0,1,6,2,1,1,1
2529,0,3,7,3,2,1,1,0,0,0,1,6,0,1,1,1
2529,0,3,8,3,1,1,1,0,0,0,1,6,5,1,1,1
2531,0,2,7,1,1,1,2,0,0,0,0,6,0,0,0,2
2531,0,3,7,1,1,1,2,0,0,0,0,5,0,1,0,2
2531,0,3,7,1,1,1,2,0,0,0,0,7,0,2,0,2
2533,0,2,8,2,2,0,2,0,0,0,1,10,6,2,0,1
2533,0,2,9,2,2,0,2,0,0,0,1,6,7,2,0,1
2533,0,2,9,2,2,0,2,0,0,0,1,5,4,3,0,1
2533,0,3,9,3,2,0,2,0,0,0,1,6,2,2,0,1
2535,0,2,6,2,3,1,1,0,0,0,0,8,1,1,1,1
2535,0,2,6,2,3,1,1,0,0,0,0,7,0,1,1,1
2535,0,3,6,3,4,1,1,0,0,0,0,7,1,1,1,1
2535,0,3,7,3,4,2,1,0,0,0,0,10,1,1,1,1
2537,0,3,7,2,3,2,1,0,0,0,0,6,0,3,1,1
2537,0,4,7,3,4,2,1,0,0,0,0,6,1,1,1,1
2537,0,4,7,3,4,2,1,0,0,0,0,6,5,1,1,1
2537,0,4,8,3,4,2,1,0,0,0,0,5,5,2,1,1
2538,0,4,9,4,2,2,1,0,0,0,1,7,2,4,0,1
2538,0,4,9,4,2,2,1,0,0,0,1,6,1,2,0,1
2538,0,4,9,4,2,2,1,0,0,0,1,7,1,3,0,1
2538,0,5,10,5,2,2,1,0,2,2,1,11,0,2,0,1
2539,0,5,11,4,2,1,1,0,0,0,1,6,0,1,1,1
2539,0,6,12,4,2,1,1,0,0,0,1,5,0,1,1,1
2539,0,6,12,4,2,1,1,0,0,0,1,6,1,1,1,1
2539,0,6,12,4,3,1,1,0,0,0,1,7,1,2,1,1
2541,0,4,9,4,2,2,1,0,0,0,1,6,2,1,1,1
2541,0,4,10,4,2,2,1,0,0,0,1,6,1,1,1,1
2541,0,5,10,4,2,1,1,0,0,0,1,7,0,2,1,1
2541,0,5,10,4,3,1,1,0,0,0,1,8,1,1,1,1
2542,0,2,6,1,2,0,2,0,0,0,1,10,1,3,1,1
2542,0,2,6,2,2,0,2,0,0,0,1,9,1,1,1,1
2542,0,3,7,2,2,0,2,0,0,0,1,9,0,2,1,1
2542,0,3,7,2,3,0,2,0,0,0,1,10,0,2,1,1
2543,0,3,6,3,3,2,1,1,0,0,1,9,0,4,1,1
2543,0,4,6,3,1,2,1,1,0,0,1,10,0,1,1,1
2543,0,4,7,4,1,2,1,1,0,0,1,8,1,3,1,1
2543,0,4,7,4,1,2,1,1,0,0,1,11,1,3,1,1
2544,0,5,11,5,4,1,1,0,0,0,1,6,1,4,0,2
2544,0,6,11,6,4,1,1,0,0,0,1,6,1,2,0,2
2544,0,6,12,6,5,1,1,0,0,0,1,7,1,4,0,2
2544,0,6,12,6,5,1,1,0,0,0,1,6,1,7,0,2
2545,0,1,3,1,2,1,2,1,0,0,1,5,0,1,0,1
2545,1,2,3,2,1,1,1,1,0,0,1,6,0,1,0,1
2547,0,5,9,4,6,2,1,0,0,0,1,6,0,5,1,1
2547,0,5,10,5,6,2,1,0,0,0,1,8,0,3,1,1
2547,0,5,10,5,6,2,1,0,0,0,1,6,0,1,1,1
2547,0,6,10,5,6,2,1,0,1,0,1,5,0,1,1,1
2550,0,4,9,1,1,0,1,0,0,0,1,6,2,1,0,1
2550,0,4,9,1,1,0,1,0,0,0,1,8,0,1,0,1
2550,0,5,10,1,2,0,1,0,0,0,1,11,1,1,0,1
2550,0,5,10,1,2,1,1,0,0,0,1,11,8,1,0,1
2551,0,3,5,3,1,0,1,1,0,0,1,6,2,3,0,1
2551,0,3,6,3,1,0,1,1,0,0,1,6,2,2,0,1
2552,0,4,8,4,2,2,1,1,0,0,1,7,2,1,0,1
2552,0,4,9,4,2,2,1,1,0,0,1,6,1,1,0,1
2552,0,4,9,4,2,2,1,1,0,0,1,6,1,1,0,1
2552,0,4,9,4,3,2,1,1,0,0,1,5,1,1,0,1
2553,0,7,12,6,6,1,1,0,0,0,1,8,0,2,1,1
2553,0,7,12,6,6,1,1,0,0,0,1,9,0,4,1,1
2553,0,7,12,6,6,1,1,0,0,0,1,10,0,3,1,1
2553,0,7,13,6,6,1,1,0,0,0,1,4,0,2,1,1
2555,0,2,4,1,1,0,2,0,0,0,0,6,2,5,1,2
2555,0,2,4,1,1,0,2,0,0,0,0,4,3,2,1,2
2558,0,3,5,3,1,1,1,0,0,0,1,7,2,1,0,1
2558,0,3,5,3,1,1,1,0,0,0,1,7,3,1,0,1
2558,0,3,6,3,2,1,1,0,0,0,1,8,1,1,0,1
2558,0,3,6,3,2,1,1,0,0,0,1,6,1,1,0,1
2561,0,2,7,2,2,0,1,0,0,0,1,7,1,3,0,1
2561,0,3,7,3,2,0,1,0,0,0,1,6,1,1,0,1
2563,0,3,7,2,3,2,1,0,0,0,0,8,1,1,1,1
2563,1,3,7,2,3,2,1,0,1,1,0,11,0,1,1,1
2564,0,1,7,1,1,1,1,0,0,0,1,8,5,5,1,1
2564,0,2,7,1,2,1,1,0,0,0,1,8,0,4,1,1
2566,0,7,12,1,1,1,1,0,0,0,0,5,0,2,3,1
2566,0,7,12,1,2,1,1,0,0,0,0,5,0,2,3,1
2566,0,7,13,1,2,1,1,0,0,0,0,6,0,2,3,1
2567,0,3,6,3,3,0,2,0,0,0,1,6,7,1,1,1
2567,0,3,6,3,3,0,2,0,0,0,1,6,12,1,1,1
2567,0,4,7,4,4,0,2,0,0,0,1,6,15,1,1,1
2567,0,4,7,4,4,0,2,0,0,0,1,5,13,1,1,1
2568,0,3,6,3,4,2,1,1,0,0,1,6,0,1,0,1
2568,0,3,6,3,5,0,1,1,0,0,1,7,0,1,0,1
2571,0,4,8,1,1,2,1,0,1,1,1,9,0,1,2,1
2574,0,3,7,3,2,1,1,1,0,0,1,7,7,4,1,1
2574,0,3,7,3,2,1,1,1,0,0,1,7,0,1,1,1
2574,0,3,8,3,2,1,1,1,0,0,1,6,1,3,1,1
2574,0,3,8,3,2,1,1,1,0,0,1,8,1,9,1,1
2576,0,7,12,7,1,1,1,0,0,0,1,6,12,1,1,1
2576,0,8,12,8,1,1,1,0,0,0,1,6,15,2,1,1
2576,0,8,13,8,1,1,1,0,0,0,1,6,15,1,1,1
2577,0,1,5,1,1,1,1,1,8,8,1,8,0,2,0,1
2577,0,1,5,1,2,0,1,1,2,0,1,9,0,0,0,1
2577,1,1,6,1,2,0,1,1,0,0,1,3,0,0,0,1
2578,0,2,5,2,2,1,2,1,0,0,1,6,1,1,0,1
2578,0,3,5,3,2,1,2,1,0,0,1,5,1,1,0,1
2578,0,3,6,3,3,1,2,1,0,0,1,6,0,1,0,1
2578,0,3,6,3,3,1,2,1,0,0,1,6,0,1,0,1
2580,0,1,6,1,2,0,2,0,0,0,1,4,0,1,1,1
2580,0,2,6,2,2,0,2,0,0,0,1,5,0,1,1,1
2580,0,2,7,2,2,0,2,0,0,0,1,6,0,1,1,1
2580,0,2,7,2,3,0,2,0,0,0,1,8,0,0,1,1
2581,0,4,6,1,1,1,1,0,0,0,1,7,1,1,3,1
2581,0,4,7,1,1,1,1,0,0,0,1,7,0,1,3,1
2582,0,3,6,3,4,0,2,0,0,0,0,6,0,2,1,1
2582,0,3,6,3,4,0,2,0,0,0,0,6,3,3,1,1
2582,0,4,7,3,4,0,2,0,0,0,0,7,4,1,1,1
2582,0,4,7,3,5,0,2,0,0,0,0,9,7,1,1,1
2583,0,2,5,1,2,1,2,0,0,0,0,8,0,1,1,1
2583,0,2,5,1,2,1,2,0,0,0,0,11,0,1,1,1
2583,0,3,5,2,2,1,2,0,0,0,0,2,0,0,1,1
2583,1,3,6,2,3,1,2,0,0,0,0,4,0,0,1,1
2585,1,4,10,4,6,1,1,0,0,0,1,6,0,3,1,1
2586,0,4,6,3,1,3,1,0,0,0,0,6,0,1,1,2
2586,0,4,6,3,1,3,1,0,0,0,0,6,0,1,1,2
2586,0,4,6,4,1,3,1,0,0,0,0,6,0,1,1,2
2586,0,4,7,4,2,3,1,0,0,0,0,5,0,1,1,2
2588,0,3,5,3,1,0,1,1,0,0,1,10,1,1,0,1
2588,0,3,6,3,2,0,1,1,0,0,1,10,7,1,0,1
2590,0,1,3,1,1,1,2,0,1,0,1,8,2,3,1,1
2591,0,6,10,6,2,1,1,1,0,0,1,6,1,1,0,1
2591,0,6,10,6,2,1,1,1,0,0,1,7,1,1,0,1
2591,0,6,11,6,2,1,1,1,0,0,1,6,1,1,0,1
2591,0,6,11,6,3,1,1,1,0,0,1,4,5,1,0,1
2592,0,6,11,5,2,1,2,0,0,0,1,5,0,1,1,1
2592,0,6,11,6,2,1,2,0,0,0,1,7,0,1,1,1
2592,0,6,12,6,2,1,2,0,0,0,1,4,1,2,1,1
2592,0,6,12,6,3,0,2,0,0,0,1,3,0,1,1,1
2594,0,4,9,4,2,0,1,0,0,0,1,5,0,4,1,1
2594,0,4,10,4,2,2,1,0,0,0,1,6,2,1,1,1
2594,0,4,10,4,2,2,1,0,0,0,1,6,3,1,1,1
2594,0,5,10,4,2,0,1,0,0,0,1,3,3,0,1,1
2595,0,2,4,1,1,0,2,0,0,0,1,7,0,2,1,1
2596,0,5,8,5,2,3,1,0,0,0,1,6,7,0,1,1
2596,0,5,9,5,3,3,1,0,0,0,1,6,1,2,1,1
2596,0,5,9,5,3,3,1,0,0,0,1,6,0,1,1,1
2596,0,6,9,5,3,3,1,0,0,0,1,4,1,1,1,1
2598,0,1,4,1,1,1,2,0,0,0,1,8,2,1,1,1
2598,0,1,5,1,2,1,2,0,0,0,1,7,2,1,1,1
2598,1,2,5,1,2,1,2,0,0,0,1,8,2,3,1,1
2601,0,2,7,2,1,1,1,1,0,0,1,6,0,4,0,1
2601,0,3,8,3,1,1,1,1,0,0,1,6,0,1,0,1
2601,0,3,8,3,2,1,1,1,0,0,1,6,1,12,0,1
2601,0,3,8,3,2,1,1,1,0,0,1,6,1,5,0,1
2603,0,6,11,6,2,1,1,0,0,0,1,7,1,1,0,2
2603,0,6,11,6,2,1,1,0,0,0,1,8,1,1,0,2
2603,0,6,11,6,2,1,1,0,0,0,1,6,0,1,0,2
2603,0,7,12,7,3,1,1,0,0,0,1,5,1,1,0,2
2605,1,2,5,1,1,2,1,0,0,0,1,6,1,2,1,1
2607,0,5,10,5,4,1,1,0,0,0,0,6,3,2,2,1
2607,0,5,10,5,4,1,1,0,0,0,0,5,1,2,2,1
2607,0,5,11,5,5,1,1,0,0,0,0,6,1,1,2,1
2607,0,6,11,5,5,1,1,0,1,2,0,11,1,1,2,1
2608,0,2,4,2,3,0,1,0,0,0,0,7,1,1,0,1
2608,0,2,4,2,3,0,1,0,0,0,0,8,1,0,0,1
2608,0,3,5,3,4,0,1,0,0,0,0,8,0,1,0,1
2608,0,3,5,3,4,2,1,0,0,0,0,7,1,1,0,1
2611,0,6,9,5,2,1,1,0,0,0,1,6,0,1,1,1
2611,0,6,10,6,3,1,1,0,0,0,1,6,1,1,1,1
2611,0,6,10,6,3,1,1,0,0,0,1,6,1,1,1,1
2611,0,6,10,6,3,1,1,0,0,0,1,4,1,4,1,1
2613,0,5,10,5,2,2,1,1,0,0,1,6,1,1,0,1
2613,0,5,10,5,2,2,1,1,0,0,1,6,2,2,0,1
2613,0,6,10,6,2,1,1,1,0,0,1,7,1,2,0,1
2613,0,6,11,6,1,1,1,1,0,0,1,7,1,1,0,1
2615,0,7,13,7,7,2,1,0,0,0,1,7,1,3,1,1
2617,0,1,2,1,1,0,2,1,0,0,1,5,0,4,1,1
2617,1,1,2,1,1,0,2,1,0,0,1,5,2,5,1,1
2619,0,6,10,6,6,2,1,0,0,0,1,6,9,2,0,1
2619,0,7,10,7,7,2,1,0,0,0,1,6,1,1,0,1
2619,0,7,11,7,7,2,1,0,0,0,1,6,2,1,0,1
2619,0,7,11,7,7,2,1,0,0,0,1,2,6,0,0,1
2620,0,2,5,2,2,2,1,1,0,0,1,6,0,1,0,1
2620,0,2,5,2,3,3,1,1,0,0,1,7,1,1,0,1
2620,0,2,6,2,3,2,1,1,0,0,1,6,1,6,0,1
2620,0,2,6,2,3,2,1,1,0,0,1,7,1,2,0,1
2621,0,3,7,3,1,2,1,1,0,0,1,6,3,4,0,1
2621,1,3,7,3,1,2,1,1,0,0,1,5,1,5,0,1
2622,1,4,8,1,1,2,1,0,0,0,1,7,0,3,1,1
2623,0,4,8,4,5,2,1,0,0,0,1,6,5,1,0,1
2623,0,5,8,5,5,2,1,0,0,0,1,6,0,1,0,1
2623,0,5,9,5,6,2,1,0,0,0,1,6,0,1,0,1
2623,0,5,9,5,6,2,1,0,0,0,1,6,0,1,0,1
2624,0,6,11,6,5,2,1,0,0,0,1,9,1,1,0,1
2624,0,6,11,6,6,2,1,0,0,0,1,9,1,2,0,1
2624,0,6,12,6,6,2,1,0,0,0,1,7,0,1,0,1
2624,0,6,12,6,6,2,1,0,0,0,1,5,0,1,0,1
2625,0,2,5,2,3,0,1,0,0,0,0,7,0,2,0,1
2625,0,3,5,3,4,0,1,0,0,0,0,4,1,1,0,1
2625,0,3,5,3,4,0,1,0,0,0,0,9,2,1,0,1
2626,0,5,9,5,2,0,1,1,0,0,1,4,4,1,0,1
2626,0,5,9,5,2,0,1,1,0,0,1,3,6,1,0,1
2626,0,5,9,5,2,0,1,1,0,0,1,3,2,1,0,1
2626,0,6,10,6,3,0,1,1,0,0,1,3,9,1,0,1
2627,0,3,6,2,3,1,2,0,0,0,1,6,2,1,1,1
2627,0,3,6,2,3,1,2,0,0,0,1,5,1,2,1,1
2627,0,3,7,2,3,1,2,0,0,0,1,9,1,1,1,1
2627,0,4,7,3,4,1,2,0,0,0,1,8,5,1,1,1
2629,0,2,5,2,1,0,2,0,0,0,1,5,0,1,0,1
2629,0,2,5,2,2,0,2,0,0,0,1,5,1,2,0,1
2629,0,3,6,3,2,0,2,0,0,0,1,5,0,1,0,1
2629,0,3,6,3,2,0,2,0,0,0,1,7,0,6,0,1
2630,0,3,6,3,1,3,1,1,0,0,1,6,0,2,0,1
2630,0,3,7,3,1,3,1,1,0,0,1,6,0,6,0,1
2630,0,4,7,4,1,2,1,1,0,0,1,6,0,2,0,1
2630,0,4,7,4,2,2,1,1,0,0,1,4,0,3,0,1
2632,0,4,7,3,1,1,1,0,0,0,0,8,0,1,1,2
2632,0,4,8,3,2,1,1,0,0,0,0,5,0,0,1,2
2632,0,4,8,3,2,1,1,0,0,0,0,6,0,1,1,2
2632,0,5,8,4,2,1,1,0,0,0,0,4,0,1,1,2
2633,0,5,12,5,2,1,1,0,0,0,1,9,0,1,1,1
2633,0,5,12,5,2,1,1,0,0,0,1,7,1,1,1,1
2633,0,6,13,5,2,1,1,0,0,0,1,5,0,1,1,1
2635,0,7,13,7,7,1,1,0,0,0,0,7,1,1,1,2
2638,0,2,6,2,2,1,1,0,0,0,1,9,2,1,1,1
2638,0,2,6,2,3,1,1,0,0,0,1,7,0,5,1,1
2638,0,2,7,2,1,1,1,0,0,0,1,7,1,2,1,1
2638,0,2,7,2,1,1,1,0,0,0,1,8,5,1,1,1
2642,0,4,11,4,1,1,2,0,0,0,1,5,15,1,1,1
2642,0,5,11,5,1,1,2,0,0,0,1,5,2,1,1,1
2642,0,5,11,5,1,1,2,0,0,0,1,6,7,1,1,1
2642,0,5,12,5,2,1,2,0,0,0,1,3,6,1,1,1
2643,0,2,4,1,1,0,1,0,0,0,0,7,0,2,1,1
2644,0,3,7,2,1,1,1,0,0,0,1,6,1,1,1,1
2644,0,3,7,2,2,1,1,0,0,0,1,6,1,2,1,1
2644,0,3,7,3,2,1,1,0,0,0,1,6,1,2,1,1
2644,0,3,8,3,2,1,1,0,0,0,1,8,0,1,1,1
2647,0,3,6,3,1,1,1,0,0,0,0,7,0,1,0,2
2647,0,4,7,4,1,1,1,0,0,0,0,6,0,4,0,2
2647,0,4,7,4,2,1,1,0,0,0,0,7,0,3,0,2
2647,0,4,7,4,2,1,1,0,0,0,0,9,0,4,0,2
2648,0,1,3,1,2,1,2,1,0,0,1,4,0,1,0,1
2648,0,1,3,1,2,1,2,1,0,0,1,4,0,1,0,1
2648,0,2,3,2,2,1,2,1,0,0,1,6,2,1,0,1
2650,0,4,6,4,1,0,1,1,0,0,1,6,0,7,0,1
2650,0,4,7,4,2,0,1,1,0,0,1,6,0,1,0,1
2650,0,4,7,4,2,0,1,1,0,0,1,5,0,1,0,1
2650,0,4,7,4,2,1,1,1,0,0,1,6,4,1,0,1
2652,0,1,3,1,2,0,2,1,0,0,1,6,1,5,0,1
2652,0,2,3,2,2,0,2,1,0,0,1,6,2,2,0,1
2652,0,2,3,2,2,0,2,1,0,0,1,6,0,4,0,1
2652,0,2,4,2,3,0,1,1,0,0,1,7,8,1,0,1
2654,1,7,12,7,7,1,1,0,0,0,1,11,6,1,0,1
2657,0,6,10,5,2,2,1,0,0,0,0,6,1,1,1,1
2657,0,6,10,6,2,2,1,0,0,0,0,6,3,2,1,1
2657,0,6,11,6,2,2,1,0,0,0,0,6,5,2,1,1
2657,0,6,11,6,3,2,1,0,0,0,0,7,9,1,1,1
2659,0,4,8,4,2,2,1,0,0,0,1,6,2,5,0,1
2659,0,4,9,4,2,2,1,0,0,0,1,8,2,1,0,1
2659,0,5,9,5,2,2,1,0,0,0,1,6,1,2,0,1
2659,0,5,9,5,2,2,1,0,0,0,1,7,1,6,0,1
2663,0,4,9,3,2,1,1,0,0,0,0,6,0,1,1,1
2663,0,4,9,3,2,1,1,0,0,0,0,6,0,1,1,1
